Campaign_name,Objective,Amount_spent(NTD),Amount_install,Amount_purchase,Purchase_Conversion_Value,Amount_subscribe,Subscribe_Conversion_Value,Reporting_date
20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,5474,282,4,1878,2,3990,2020-05-26
武財神_APP下載_20200221,APP_INSTALLS,170,15,,,,,2020-05-26
iCheck APP下載_20200324,APP_INSTALLS,501,44,,,,,2020-05-26
籌碼K線_下載_興趣投資受眾,APP_INSTALLS,591,31,,,,,2020-05-26
籌碼K_下載_相關類似受眾,APP_INSTALLS,3092,113,2,2489,1,2090,2020-05-26
股市爆料同學會_影片廣告_20200416(下載),APP_INSTALLS,165,44,,,,,2020-05-26
股市爆料同學會_常駐廣告_20200416(下載),APP_INSTALLS,298,53,,,,,2020-05-26
股人阿勳_下載_軟體,APP_INSTALLS,269,18,1,,,,2020-05-26
權證小哥_軟體_導購_20200505,LINK_CLICKS,100,,1,3771,,,2020-05-26
20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,4106,194,,,3,1200,2020-05-26
林恩如_下載_0504建立_軟體,APP_INSTALLS,400,48,,,,,2020-05-26
20200513_林恩如_AOS_下載_軟體,APP_INSTALLS,23,5,,,,,2020-05-26
20200514_林恩如_IOS_下載_軟體,APP_INSTALLS,14,1,,,,,2020-05-26
20200521_艾蜜莉_下載_軟體,APP_INSTALLS,1372,120,,,,,2020-05-26
20200521_股人阿勳_0528銷售前置作業_軟體,LINK_CLICKS,574,,,,,,2020-05-26
20200522_林恩如_Like_其他_軟體,PAGE_LIKES,491,,,,,,2020-05-26
版本B - 武財神_APP下載_20200221,APP_INSTALLS,52,2,,,,,2020-05-26
版本A - 武財神_APP下載_20200221,APP_INSTALLS,55,7,,,,,2020-05-26
202005525-0606_林恩如_強棒旺旺來 即時選股_購買_講座,CONVERSIONS,1285,,11,55903,,,2020-05-26
期貨電子盤_下載_IOS(舊),APP_INSTALLS,89,5,2,980,,,2020-05-27
股市爆料同學會_20190617(下載),APP_INSTALLS,940,195,2,4676,,,2020-05-27
20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,6881,328,7,9560,3,4390,2020-05-27
武財神_APP下載_20200221,APP_INSTALLS,106,2,,,,,2020-05-27
iCheck APP下載_20200324,APP_INSTALLS,489,41,1,8621,,,2020-05-27
籌碼K線_下載_興趣投資受眾,APP_INSTALLS,1077,56,,,,,2020-05-27
籌碼K_下載_相關類似受眾,APP_INSTALLS,2803,105,1,10837,,,2020-05-27
股市爆料同學會_影片廣告_20200416(下載),APP_INSTALLS,226,44,1,1099,,,2020-05-27
股市爆料同學會_常駐廣告_20200416(下載),APP_INSTALLS,291,52,,,,,2020-05-27
股人阿勳_下載_軟體,APP_INSTALLS,204,17,3,2664,,,2020-05-27
權證小哥_軟體_導購_20200505,LINK_CLICKS,101,,3,21937,,,2020-05-27
20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,5921,220,,,2,3990,2020-05-27
林恩如_下載_0504建立_軟體,APP_INSTALLS,489,55,,,,,2020-05-27
20200513_林恩如_AOS_下載_軟體,APP_INSTALLS,64,6,,,,,2020-05-27
20200514_林恩如_IOS_下載_軟體,APP_INSTALLS,27,5,,,,,2020-05-27
20200521_艾蜜莉_下載_軟體,APP_INSTALLS,964,82,,,,,2020-05-27
20200521_股人阿勳_0528銷售前置作業_軟體,LINK_CLICKS,632,,,,,,2020-05-27
20200522_林恩如_Like_其他_軟體,PAGE_LIKES,484,,,,,,2020-05-27
版本B - 武財神_APP下載_20200221,APP_INSTALLS,55,4,,,,,2020-05-27
版本A - 武財神_APP下載_20200221,APP_INSTALLS,56,5,,,,,2020-05-27
202005525-0606_林恩如_強棒旺旺來 即時選股_購買_講座,CONVERSIONS,4320,,30,190476,,,2020-05-27
版本A - 籌碼K_下載整理中IOS,APP_INSTALLS,931,46,,,,,2020-05-27
版本B - 籌碼K_下載整理中IOS,APP_INSTALLS,189,2,,,,,2020-05-27
期貨電子盤_下載_IOS(舊),APP_INSTALLS,135,11,,,,,2020-05-28
股市爆料同學會_20190617(下載),APP_INSTALLS,1012,197,,,,,2020-05-28
20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,6627,317,1,1799,1,3590,2020-05-28
武財神_APP下載_20200221,APP_INSTALLS,229,15,,,,,2020-05-28
iCheck APP下載_20200324,APP_INSTALLS,498,40,,,,,2020-05-28
籌碼K線_下載_興趣投資受眾,APP_INSTALLS,1181,42,,,1,400,2020-05-28
籌碼K_下載_相關類似受眾,APP_INSTALLS,1304,44,,,,,2020-05-28
股市爆料同學會_影片廣告_20200416(下載),APP_INSTALLS,151,30,,,,,2020-05-28
股市爆料同學會_常駐廣告_20200416(下載),APP_INSTALLS,273,38,,,,,2020-05-28
股人阿勳_下載_軟體,APP_INSTALLS,233,32,,,,,2020-05-28
權證小哥_軟體_導購_20200505,LINK_CLICKS,99,,5,9058,,,2020-05-28
20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,4799,157,1,10837,4,4790,2020-05-28
林恩如_下載_0504建立_軟體,APP_INSTALLS,495,53,3,8209,,,2020-05-28
20200513_林恩如_AOS_下載_軟體,APP_INSTALLS,37,5,,,,,2020-05-28
20200514_林恩如_IOS_下載_軟體,APP_INSTALLS,14,,,,,,2020-05-28
20200521_艾蜜莉_下載_軟體,APP_INSTALLS,998,104,1,,1,390,2020-05-28
20200521_股人阿勳_0528銷售前置作業_軟體,LINK_CLICKS,439,,,,,,2020-05-28
20200522_林恩如_Like_其他_軟體,PAGE_LIKES,514,,1,399,,,2020-05-28
版本B - 武財神_APP下載_20200221,APP_INSTALLS,16,1,,,,,2020-05-28
版本A - 武財神_APP下載_20200221,APP_INSTALLS,15,,,,,,2020-05-28
202005525-0606_林恩如_強棒旺旺來 即時選股_購買_講座,CONVERSIONS,5726,,46,383940,,,2020-05-28
版本A - 籌碼K_下載整理中IOS,APP_INSTALLS,614,27,,,,,2020-05-28
版本B - 籌碼K_下載整理中IOS,APP_INSTALLS,126,3,,,,,2020-05-28
股人阿勳_購買_0528直播優惠轉換_軟體,CONVERSIONS,1906,,13,22055,,,2020-05-28
期貨電子盤_下載_IOS(舊),APP_INSTALLS,124,3,,,,,2020-05-29
股市爆料同學會_20190617(下載),APP_INSTALLS,769,149,,,,,2020-05-29
20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,2826,123,2,5680,3,6080,2020-05-29
武財神_APP下載_20200221,APP_INSTALLS,211,11,,,,,2020-05-29
iCheck APP下載_20200324,APP_INSTALLS,503,47,,,,,2020-05-29
籌碼K線_下載_興趣投資受眾,APP_INSTALLS,893,41,,,,,2020-05-29
籌碼K_下載_相關類似受眾,APP_INSTALLS,499,25,,,,,2020-05-29
股市爆料同學會_影片廣告_20200416(下載),APP_INSTALLS,117,30,,,,,2020-05-29
股市爆料同學會_常駐廣告_20200416(下載),APP_INSTALLS,143,23,,,,,2020-05-29
股人阿勳_下載_軟體,APP_INSTALLS,200,14,,,,,2020-05-29
籌碼K線_ 競價下載_行銷活動花費無限制,APP_INSTALLS,904,29,1,400,1,400,2020-05-15
期貨電子盤_下載_IOS(舊),APP_INSTALLS,113,4,,,,,2020-05-15
股市爆料同學會_20190617(下載),APP_INSTALLS,1177,149,5,10637,,,2020-05-15
20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,6448,276,4,3996,1,3590,2020-05-15
武財神_APP下載_20200221,APP_INSTALLS,220,35,,,,,2020-05-15
林恩如_2020講座(購買)_講座,CONVERSIONS,485,,1,8818,,,2020-05-15
iCheck APP下載_20200324,APP_INSTALLS,499,46,,,,,2020-05-15
股市爆料同學會_影片廣告_20200416(下載),APP_INSTALLS,77,19,,,,,2020-05-15
股市爆料同學會_常駐廣告_20200416(下載),APP_INSTALLS,464,68,,,,,2020-05-15
股人阿勳_下載_軟體,APP_INSTALLS,495,41,5,2484,,,2020-05-15
